,availableBikes,departs,id,lat,lng,stAddress,totalDocks
570,7,12,3392,40.6812117,-74.00860912,Commerce St & Van Brunt St,19
571,14,5,3393,40.6794327,-74.00785041,Richards St & Delavan St,19
572,9,12,3394,40.6769993,-74.00647134,Columbia St & W 9 St,21
573,17,8,3396,40.6783563,-74.00014502,Clinton St & 4 Place,25
574,0,0,3397,40.6763947,-73.99869893,Court St & Nelson St,0
575,17,3,3398,40.6746957,-73.99785768,Smith St & 9 St,23
576,13,10,3399,40.67260298150126,-73.98983001708984,7 St & 3 Ave,24
577,0,24,3400,40.7961535,-73.94782145,E 110 St & Madison Ave,24
578,18,1,3401,40.6724811,-73.99331394,2 Ave & 9 St,19
579,15,7,3402,40.6902375,-73.99203074,Court St & State St,23
580,8,22,3403,40.6705135,-73.98876585,4 Ave & 9 St,31
581,4,23,3404,40.6704922,-73.98541675,7 St & 5 Ave,27
582,14,9,3405,40.6704836,-73.98208968,5 St & 6 Ave,23
583,6,15,3407,40.67909799721684,-73.98765474557877,Union St & Nevins St,23
584,1,24,3408,40.6881529,-73.99520919,Congress St & Clinton St,27
585,30,5,3409,40.6867443,-73.99063168,Bergen St & Smith St,35
586,8,23,3410,40.6864442,-73.98759104,Dean St & Hoyt St,31
587,6,18,3411,40.6849668,-73.98620772,Bond St & Bergen St,27
588,3,14,3412,40.6853761,-73.98302136,Pacific St & Nevins St,18
589,13,9,3413,40.6827549,-73.98258555,Wyckoff St & 3 Ave,22
590,13,20,3414,40.680944723477296,-73.97567331790923,Bergen St & Flatbush Ave,33
591,16,9,3415,40.6793307,-73.97519523,Prospect Pl & 6 Ave,25
592,8,16,3417,40.6795766,-73.97854971,Baltic St & 5 Ave,27
593,0,32,3418,40.6750207,-73.97111473,Plaza St West & Flatbush Ave,33
594,23,4,3419,40.6792788,-73.98154004,Douglass St & 4 Ave,27
595,18,3,3420,40.6802133,-73.98432695,Douglass St & 3 Ave,21
596,8,15,3421,40.6843549,-73.98901629,Hoyt St & Warren St,23
597,14,7,3422,40.6859296,-74.00242364,Columbia St & Degraw St,21
598,2,27,3423,40.6610633719006,-73.97945255041122,West Drive & Prospect Park West,29
599,0,27,3424,40.791976,-73.945993,E 106 St & Lexington Ave,27
600,0,32,3425,40.7892105,-73.94370784,2 Ave & E 104 St,33
601,14,25,3427,40.72430527250332,-73.99600982666016,Lafayette St & Jersey St,40
602,34,2,3429,40.68506807308177,-73.97790759801863,Hanson Pl & Ashland Pl,39
603,5,14,3430,40.71907891179564,-73.94223690032959,Richardson St & N Henry St,19
604,1,22,3431,40.746524,-73.977885,E 35 St & 3 Ave,23
605,1,33,3434,40.79025417330419,-73.97718340158461,W 88 St & West End Ave,35
606,10,34,3435,40.718822,-73.99596,Grand St & Elizabeth St,45
607,6,32,3437,40.79313480986663,-73.97700369358063,Riverside Dr & W 91 St,39
608,1,41,3440,40.692418292578466,-73.98949474096298,Fulton St & Adams St,43
609,4,36,3443,40.76132983124814,-73.97982001304626,W 52 St & 6 Ave,41
610,0,18,3449,40.721462562298164,-73.94800901412964,Eckford St & Engert Ave,18
611,2,41,3452,40.71915571696044,-73.94885390996933,Bayard St & Leonard St,43
612,1,17,3453,40.71335226222875,-73.9491033554077,Devoe St & Lorimer St,19
613,0,24,3454,40.7103685423523,-73.94705951213837,Leonard St & Maujer St,24
614,2,19,3456,40.71638031973561,-73.94821286201477,Jackson St & Leonard St,22
615,5,41,3457,40.76302594280519,-73.97209525108337,E 58 St & Madison Ave,46
616,1,38,3458,40.76309387270797,-73.9783501625061,W 55 St & 6 Ave,40
617,0,33,3459,40.75763227739443,-73.96930575370789,E 53 St & 3 Ave,34
618,9,24,3461,40.714851505262516,-74.01122331619263,Murray St & Greenwich St,33
619,1,38,3462,40.75118387463277,-73.97138714790344,E 44 St & 2 Ave,39
620,1,36,3463,40.735367055605394,-73.98797392845154,E 16 St & Irving Pl,37
621,23,17,3467,40.72494672359416,-74.00165855884552,W Broadway & Spring Street,42
622,3,19,3469,40.73181401720966,-73.95995020866394,India St & West St,23
623,15,24,3472,40.742753828659026,-74.00747358798981,W 15 St & 10 Ave,39
624,7,24,3474,40.7252556952547,-74.00412082672119,6 Ave & Spring St,36
625,25,8,3477,40.65539977447831,-74.01062786579132,39 St & 2 Ave - Citi Bike HQ at Industry City,33
626,29,12,3478,40.65708866668485,-74.00870203971863,2 Ave & 36 St - Citi Bike HQ at Industry City,43
627,27,15,3479,40.68512559515415,-74.02535319328308,Picnic Point,45
628,15,6,3481,40.71649,-74.04105,York St,22
629,13,1,3483,40.71942,-74.05099,Montgomery St,14
630,22,4,3486,40.688417427540834,-73.98451656103134,Schermerhorn St & Bond St,30
631,7,24,3489,40.71069994631387,-74.00354146957397,Gold St & Frankfort St,31
632,1,30,3490,40.796879,-73.937261,E 116 St & 2 Ave,31
633,3,21,3491,40.79747,-73.93504,E 118 St & 1 Ave,24
634,0,27,3492,40.8005385,-73.9419949,E 118 St & Park Ave,27
635,1,30,3493,40.799139,-73.9389152,E 118 St & 3 Ave,31
636,1,23,3494,40.797911,-73.9423,E 115 St & Lexington Ave,25
637,1,24,3495,40.7945663,-73.9362541,E 114 St & 1 Ave,26
638,3,20,3496,40.7923272,-73.9383,1 Ave & E 110 St,25
639,15,6,3497,40.7949879,-73.9333349,Pleasant Ave & E 116 St,23
640,8,13,3498,40.7974772,-73.9311847,Pleasant Ave & E 120 St,21
641,1,24,3499,40.8006721,-73.9349,2 Ave & E 122 St,25
642,2,29,3500,40.7989445,-73.944846,E 115 St & Madison Ave,31
643,0,27,3501,40.8014866,-73.9442507,E 118 St & Madison Ave,29
644,1,28,3502,40.7954121,-73.9441232,Lexington Ave & E 111 St,29
645,2,28,3503,40.80295,-73.942954,Madison Ave & E 120 St,30
646,9,18,3504,40.8029263,-73.9379,E 123 St & Lexington Ave,27
647,6,25,3505,40.805726,-73.936322,Lexington Ave & E 127 St,33
648,5,24,3506,40.8013066,-73.9398167,Lexington Ave & E 120 St,29
649,2,32,3507,40.8045555,-73.9396861,Park Ave & E 124 St,36
650,2,29,3508,40.809725,-73.953149,St Nicholas Ave & Manhattan Ave,31
651,4,27,3509,40.8011939,-73.9500739,Lenox Ave & W 115 St,31
652,4,27,3510,40.8078316,-73.949373,Adam Clayton Powell Blvd & W 123 St,31
653,0,22,3511,40.802535,-73.9532423,Adam Clayton Powell Blvd & W 115 St,22
654,2,17,3512,40.7747175,-73.9337894,27 Ave & 4 St,19
655,5,15,3513,40.774645,-73.923706,21 St & Hoyt Ave S,21
